,rowid,kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_model_snr,koi_count,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6692,0.8499124582293248,0.3958259857280968,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.3779075409207812,-0.3854990994908977,-0.3855043873140778,0.0,-0.14366586347976137,-0.5536980816400926,-0.2991830388223371,-0.08620230751050578,0.03223964221812969,-0.028103399424496224,-0.37110012904514006,0.4711978852901829,0.4569676672282409,-0.0606282455816178,-0.17543807388030302,0.0,0.0,-0.4535133803195097,0.5466247250123583,-0.3277189265959697,-0.48603011372612437,-0.3612742139457459,-0.5923516024571952,-2.0467452399090282,-0.47669709533611376,0.5736189228125392,0.9154275043350834,1.6853123699260097,0.2918000798234096,-0.5903049520688979,-0.3957952560741585,-0.5747258556657406,-0.6801479333358135,-0.7497690515282023,-0.7959925693200551,-0.8823987360397585,-0.9448108809296146,-0.18186316408586434,1.6853524085135074,0.2917880802697364,0.039711998067307006,-0.004480100971935106,0.001595191278377563,-0.00886876414158993,-4.533366608478252,-0.49688164156593034,2.9593751688126764,-4.536909998085649,-0.4546443471136467,2.9685715353691884
6698,0.8520391806026011,0.7024818463015517,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.31207278900669094,-0.4845251875238136,-0.4845183243583044,0.0,-0.06948668161428653,-0.5280403009695116,-0.29005651088397794,-0.08100138209330457,0.05904902289277319,-0.028671379987914768,-0.27801790122260184,0.4705510138414527,-0.6480848596067643,-0.08606904844296145,-0.052626097832706664,0.0,0.0,-0.7288253945621325,0.7746191730528328,-0.3291029035771792,-0.48603011372612437,-0.3612742139457459,-0.6512581915387395,0.7249796741641301,-0.19842901794869178,-0.22865329685553515,-0.5415567560081819,0.4899305686283129,0.6574432767051824,2.0294162121603385,1.9697482855045167,2.0120724112133384,2.04031551403196,2.0097169806047424,1.9457296719237582,1.9006176608807388,1.7807148221507785,0.3605086488456407,0.4898565651776637,0.6575640992239375,-0.08808051348810625,0.12813471100887214,0.01557543580001303,-0.021614106877831545,0.7377391013784584,-0.380530907061674,0.0681951450507767,0.4796192863104598,-0.48861831519211296,-0.004086502154239916
6699,0.8523936343314805,0.7033184732298764,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,0.633389693874254,1.1250942885823059,1.1250959304829034,0.0,-0.003919521838559493,-0.5816467355848326,-0.28613095300411706,-0.07896519847117582,1.648002486210069,-0.02843712811712633,0.8604493467607501,0.5087164293165181,-1.047131605408294,-0.08682051156048734,2.227676848591046,0.0,0.0,-2.285762302692827,2.128094688750734,-0.33136759318279496,-0.48603011372612437,-0.3612742139457459,-1.1122662800029994,0.45200676595995515,1.6103134850695506,-0.20052081390512827,-0.6344919660300772,0.6656487148227062,0.6656998368796021,1.296727979569911,1.4548646186897682,1.2724160288754252,1.207842090942279,1.1442111106732038,0.9886162408070231,0.9082445504488306,0.7154565367918925,0.9112246435145535,0.6655398077872051,0.6657150274751238,-0.12740128627438727,0.02777755599636935,0.02152447602198557,-0.01036821622820659,1.1127418257407664,-1.086141813087487,0.7077789877791426,1.0697992021217668,-1.2133963008660613,0.747244650186846
6700,0.85274808806036,0.704029737487021,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.2883893511177156,-0.24713436375169878,-0.24712800148388256,0.0,0.09055942638132089,-0.34461771415184617,-0.2939410790028442,-0.07992245107128836,-0.15100011724429285,-0.014597014162187446,0.012685056438555994,0.2493209783758208,1.1896655382818857,0.010033195186112731,-0.28374902757421,0.0,0.0,-1.156033692524823,1.2450992416787268,-0.3312417770935941,-0.48603011372612437,-0.3612742139457459,-0.8266973807598607,-4.590117817311386,0.6711587238870017,4.4764217340031065,6.422588175632569,0.8091565568629502,0.6484308362104143,-0.6279814804406149,-0.32860476338343936,-0.629100595124095,-0.7680385537018569,-0.8662956954799605,-1.0595206620131818,-1.2758506300435983,-1.3112387923552755,-0.5448350696631024,0.809281219602224,0.6484610761277937,0.13997996867232357,0.04068061878369114,-0.005246204976890857,-0.009868398866001037,0.025655276465761354,-0.1065436935516507,-0.47023002867463354,0.015906495315861437,-0.12622932235513884,-0.4483518791907083
6702,0.8534569955181187,0.7186682690399997,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.42519689100969077,-0.4902896714483049,-0.49028828748602354,0.0,-0.040538708203369536,-0.5193349825277074,-0.30038277759606163,-0.08734226154773655,-0.12686653193999917,-0.02913346587001799,-0.5504624218878003,0.21827114883678447,-0.32777977936473385,-0.08376983211482639,-0.32429690998500005,0.0,0.0,-3.754093045320148,3.2922188831946824,-0.32331536347393913,-0.48603011372612437,-0.3612742139457459,-1.9689729777324154,0.6961075396425344,1.958148581803828,-0.24685666817638666,-0.985247436112715,-1.35350960551094,0.6844841963015966,-0.18307779434905241,0.40976032477217733,-0.1045442850552614,-0.4703712639715823,-0.6788397899923496,-0.9290442122107218,-1.2137726645452147,-1.2693613167637714,-0.5490071605318062,-1.3535418398641157,0.6846628219768606,-0.029099354308684752,0.17831328851512349,0.000524364038422506,-0.012754844132738108,-0.09232310872687484,0.18996301695919632,-0.4441245657061288,-0.2285966126631086,-0.17530283180181241,-0.32748556337931617
6704,0.8541659029758775,1.1790705610330139,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,5.093577425240668,3.4409842660225554,3.4409913399417684,0.0,-0.04614737805173469,-0.0668111484388291,-0.29374558937348566,-0.08253063355892212,0.332861235767016,-0.028690633566335735,4.191719077101973,0.5087164293165181,-1.1792574510081315,-0.08685963328461016,4.626187181025916,0.0,0.0,-0.16712559538896524,0.25969950862243907,-0.33249993798560284,-0.48603011372612437,-0.3612742139457459,-0.11981831178132893,0.5858684805600797,0.6711587238870017,-0.18827490956200996,-0.08887234590152954,0.39685577867231386,1.222765088860767,0.3940945551751361,0.3586371238118476,0.3744331992911275,0.4068766260970279,0.4366072872560036,0.42636574988194625,0.4527146909466073,0.46855392028364845,0.7985781900595487,0.3970043983906176,1.2227680078688508,0.16750450962272026,0.02777755599636935,-0.011195245198863396,-0.007494266395524659,0.564985037346384,-0.47436214456510656,0.006194670500577962,0.6060864111271684,-0.48106854450800934,0.04491335560713524
6705,0.8545203567047569,1.1818945991706158,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,0.240809184945406,0.46303454362011587,0.46303974550092014,0.0,-0.21867729958080007,-0.2751278915023559,-0.29761123914112375,-0.08510426084516935,0.12143153176296183,-0.02573200034898038,0.8840779122849329,0.5087164293165181,-0.20766537427397241,-0.08218866243152896,0.6559309659897434,0.0,0.0,-0.9645810849193209,1.013240480959601,-0.32859963922037577,-0.48603011372612437,-0.3612742139457459,-0.7498626993491506,-3.45098087345935,0.010272040091874646,1.9488008835059591,3.124887174855631,0.9552431694774757,1.2212649528899528,-0.5911065803321255,-0.35197536953673286,-0.5899187975732222,-0.702535166825278,-0.7877668702081234,-0.9487873592203043,-1.0878680584639857,-1.0896371506835667,2.7719771709564864,0.9553517893551743,1.2213204915784033,0.118353543639869,0.07652245985958497,-0.00018952078821419868,-0.011492805293169086,0.16891474419967675,-0.035231953049041934,-0.46370366293250737,0.243547319985937,-0.05073161551410255,-0.39935202142933307
6706,0.8548748104336363,1.1830919252815872,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.3500850083131954,-0.48823229446773386,-0.48823370121408277,0.0,-0.25149706443542724,-0.4264018900393231,-0.28644625885792113,-0.08017793899643359,-0.047435982135102035,-0.02876123002054595,-0.38721051462981015,0.5087164293165181,-0.7935567502166866,-0.08651269966165985,-0.1689536152900348,0.0,0.0,-0.47091816282910065,0.9494793217618407,-0.3238186278307426,-0.48603011372612437,-0.3612742139457459,-2.117520028459788,0.8667156072701445,0.0798390594387301,-0.2792917661662676,-1.285038436183346,1.1460087275626196,1.213030534943886,1.0794867202351113,1.624301513301148,1.152471750658466,0.8040427313360288,0.6021088975063269,0.37572028581388495,0.12221509998338134,0.12219229924558297,0.005880925005810537,1.1461904247597288,1.2130367128837352,0.19699508921243097,0.02777755599636935,-0.0156570253653428,0.002127217826932246,-0.05861499867183592,-0.09528394505123879,-0.4669668458035704,0.10021791186033387,0.1568870782987472,-0.4712184794793501
6708,0.8555837178913951,1.1970728658168788,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,3.729275665653154,5.2937431267824815,5.293748759229994,0.0,0.08538497613411945,1.021659106556593,-0.289134241261601,-0.07828843117593498,-0.15196744491836012,-0.027407061671604564,3.429518834662805,0.4789603426749413,-0.9950820298689641,-0.08678872515963754,0.35903799647344997,0.0,0.0,0.7315940832881025,-0.9942699556001701,-0.2914838929061184,-0.48603011372612437,-0.3612742139457459,0.738168963971599,-0.8787361615353955,-1.1723672888046688,0.08278983792485185,0.07001688413590484,-1.151496038284349,1.2305666262425619,-1.083306333954143,-1.1568006189407773,-1.0824899667841994,-1.037514512371325,-1.0022434467570116,-0.9341945983871349,-0.871906685532989,-0.8436069815834799,3.389446619524661,-1.151473109170291,1.2305951131640471,0.03381388214936484,0.05071633428494142,0.0017439172839268761,-0.010243261887655203,-0.2777177140295889,0.32507999896413925,-0.2613863249265956,-0.24124332514477947,0.3192071480069752,-0.278485705617941
6709,0.8559381716202744,1.1990313760510636,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.09384853502604797,-0.02450676888754506,-0.024513578264931692,0.0,-0.23955602540342394,0.15051636283638986,-0.297245484350711,-0.08474621014144063,-0.12755510722622065,-0.028754812161072296,0.15445644958365265,0.5074226864190585,-0.6627655091178575,-0.086125285921388,-0.07035720573437422,0.0,0.0,0.48792712815382683,-0.4223516791596581,-0.3289770874879784,-0.48603011372612437,-0.3612742139457459,0.5255930120686348,0.24465234530486166,0.914643291600996,-0.11479948350330013,0.42976608422066126,-0.5959497376196777,1.226150082020001,1.12517953123911,0.96846387812435,1.1124903245861473,1.190429798228251,1.2801588619502549,1.280471457470422,1.334046933515209,1.3087207743382006,-0.08173298323697106,-0.5960863508434646,1.2260532886274782,-0.14706167266752776,-0.06541123080095464,0.010072573594688432,-0.0028709557951232894,0.22790393679599483,-0.3880374060619485,-0.1863331188921445,0.3109964532215149,-0.3640470989044031,-0.16415270417473218
6710,0.8562926253491538,1.200141999236758,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,4.0596953967896665,2.0679454218764235,2.067945573456639,0.0,-0.05472321517471888,-0.14470083976023573,-0.2921059989337045,-0.08172042436896512,0.4284539627956962,-0.028539813868704824,3.6038690075457898,0.5087164293165181,-1.1085234124546832,-0.08684441928078462,4.255070969130549,0.0,0.0,0.8217825017468925,-1.0106932844844412,-0.3312417770935941,-0.48603011372612437,-0.3612742139457459,0.7714639925829067,0.3601408833912422,-0.9636662307641021,-0.15451593002152167,-0.013924595883871812,-0.30773246068749727,1.2288921202234813,0.5784690557175858,0.4061086675607246,0.5879340145173138,0.6564528216647498,0.7085027898101073,0.8109279177207767,0.916987925871138,0.8733695176681885,3.251767620857433,-0.307749925734804,1.2289455534908016,-0.009438967915544254,0.07795613350262073,0.003677355356067952,-0.011617759633720475,0.37537691828679004,-0.41806340206304693,-0.11127991285769338,0.38266115728431643,-0.41312060835107667,-0.10861953204517368
6712,0.8570015328069126,0.08552484891960865,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,0.25829601991113965,0.568481042211559,0.5684742646718699,0.0,-0.253668162441246,0.512168890383627,-0.29601736805014406,-0.08395842507153235,-0.13319364226167418,-0.02876123002054595,0.578696603313298,0.5106570436627079,-0.8429371167539996,-0.08661131900788613,0.07176655837666619,0.0,0.0,0.8265292606131449,-0.9923377992608442,-0.325454236990354,-0.48603011372612437,-0.3612742139457459,0.6434061902317234,0.4283841104422853,-0.6853981533766802,-0.1627901897128178,0.013056594122484638,-0.20261001000919587,-0.04487776104035251,0.7772728649981409,0.6157137914980748,0.7838430022716791,0.8479880415190505,0.9001806751510418,0.9585723214446142,1.0219084309388295,1.046986551891299,-0.5448350696631024,-0.2025824156819721,-0.04502100657006744,0.029881804870736748,-0.13709491295274234,0.0011490132617296227,0.0018773091458294687,0.10149852408959892,0.3400929969646885,-0.3038077022504158,0.2266850366770425,0.4173541669003224,-0.23275250504065745
6718,0.859128255180189,0.09611123856222713,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,3.5087865685297763,1.1338620638374235,1.133862165270823,0.0,0.08473364673237385,-0.22931042601917553,-0.29392216065161597,-0.08077272959051271,-0.08921470736651838,-0.02696422936792231,3.5684261592595155,0.5087164293165181,-0.9376940363256002,-0.08673955132584427,1.671002530747996,0.0,0.0,0.4088144803829581,-0.37597992701583255,-0.33061269664758974,-0.48603011372612437,-0.3612742139457459,0.08507417198056433,-1.6477848356106186,-0.5462641146829693,0.3912542392163723,0.7865173743047117,1.5457012427321948,-0.03627495177008732,-1.3414306347135716,-1.2320247574966905,-1.3303748084325813,-1.383272896264151,-1.4092423046175018,-1.436357250587394,-1.4367287378140583,-1.4403610087624128,3.389446619524661,1.5457489012639538,-0.036225200124474825,0.05052521058353428,0.04713215017735203,0.002190095300574817,-0.010868033590412145,-0.41255015424974456,0.03232653795342954,-0.2646495077976587,-0.3803571624431589,-0.012982762093584416,-0.2817523628020327
6724,0.8612549775534654,0.4305067805016584,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.24178541303068202,-0.44687797788008377,-0.446885152368693,0.0,-0.20655533571497858,-0.685652382231652,-0.29996342081050226,-0.08699266584009178,3.584440939414945,-0.02907249620501826,-0.13767854235169807,0.5087164293165181,-0.7294957341682804,-0.08635159422829294,0.7308414606130672,0.0,0.0,-1.170273969123579,1.188100629668609,-0.3308643288259915,-0.48603011372612437,-0.3612742139457459,-0.6307689431625502,0.648862228607197,0.9842103109478514,-0.207471192045817,-0.3317030559587403,-1.0520176892403088,0.3476901087389896,-0.6167586847554228,-0.4951203322256552,-0.6402953944243439,-0.6701980517849419,-0.6813729779043445,-0.7410551167716506,-0.7827242562254516,-0.8060917430327567,-0.5448350696631024,-1.0522395573516887,0.3477070461057098,-0.2551937978298005,0.020609187781190585,0.005313341417110399,-0.009868398866001037,-0.31985285159838756,-0.18536193305453408,-0.2581231420555325,-0.279183462589792,-0.25080053864284874,-0.2392858194088408
6726,0.8619638850112241,0.43309060274238825,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,3.095405830937908,3.1808068831421235,3.180812230937753,0.0,-0.241292903808079,0.16639975087055905,-0.27301422948586723,-0.07624011647246841,0.1209450235138073,-0.028504515641599715,2.3963061058326307,0.5087164293165181,-1.2299724220464532,-0.08686506685740499,2.6950083746815077,0.0,0.0,-0.2905413259115203,0.6326056821123678,-0.32671239788236267,-0.48603011372612437,-0.3612742139457459,-1.8550015336398624,0.8037218592230273,-0.33756305664240277,-0.27035556569966773,-1.2220823261685134,-0.3652735268238929,0.3424257939484196,1.190111420560581,1.5753693066676897,1.2052472330739286,0.9914321672107985,0.8790707758844202,0.7242297504178266,0.4395996278131455,0.3813091794680152,0.8778479165649226,-0.3653410530038002,0.342473292176002,-0.078250320291536,0.05143317110645929,0.02449899613297184,-0.009118672822692707,-2.4687448676071186,0.18996301695919632,1.3277837332811302,-2.513436001018311,0.19086104637721354,1.3679095151642653
