,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_rad
120,-1.2732003285887965,-0.7449502190228166,-0.7449496473997107,1.021124191651121,1.0211241916460347,-0.21735551665023226,0.7042864091142397,-1.77547899622885,0.07085096578265183,0.0919074258880484,-1.2144582514033009,0.00998813177388568,-0.4165187086471827,-0.49601531873428134,0.31926303001227313,-0.2328462309431712,-0.9662502596485102,-0.5385923986181047,0.38660852671654594,-0.44631205300713034,1.1746256645229811
131,-1.2686040031699568,-0.7400243292842519,-0.740023758914435,0.46974137582428616,0.46974137581907444,-0.21735551665023226,-1.4253031384794301,-1.7047384991375047,0.07101919619037356,0.13578072588670786,-1.670932710673426,-0.09488786041113269,-0.5308395354529216,-0.5322704153234185,-0.6135549129708385,-0.2209488172204702,-0.5206416561069812,-0.8611697410531901,-0.6224611194719807,-0.11398056480573902,-0.2067544722322071
132,-1.2681861554046077,-0.7395317403103954,-0.7395311700659073,0.41105276322732176,0.4110527632220966,-0.21735551665023226,0.8978873887874443,-1.501781958447828,-0.13580006267400138,-0.20638776012121066,-0.08284760623268593,-0.14267877864521494,-0.5597673393418994,-0.5159714886224265,-0.5943019265471918,-0.18991056212920124,0.03818459401165651,-0.3409849166859493,-0.45033366211927045,0.0035433406485840305,-0.16781080130837792
141,-1.2644255255164658,-0.7355910285195437,-0.7355904592776867,-1.065758154156511,-1.0657581541620726,-0.21735551665023226,1.1311081048174492,-1.0702026280381447,0.07697134823500425,0.24127128880080487,-0.607273459397891,-0.16768617513452008,-0.9342617083476379,-0.5469170887438598,-0.47485409045925886,3.5663267419148696,3.135237739130355,-1.737497948075867,-0.2856981271329907,1.6619362287262538,0.33996233306368434
149,-1.2610827433936733,-0.7326354946764049,-0.7326349261865213,-0.2563193331685662,-0.2563193331739435,-0.21735551665023226,0.6601047079068247,1.2564171465823242,-0.053118822764669775,0.23576623659393744,-1.0934388947394953,-0.1708891638031185,-1.2643790548160456,-0.5321933302638241,-0.4191328165546079,1.456390343669663,2.2497207066105736,-1.0030114207144971,-0.32063393113543676,-0.09569906840173321,0.3041069851736597
158,-1.2573221135055315,-0.7296799608332661,-0.7296793930953558,-1.0025183462356773,-1.0025183462412246,-0.21735551665023226,1.1584114742266718,0.582498820998212,-0.011734142465124482,0.29014828803749204,0.4906707803005196,-0.15826935144487558,-0.8023547441365536,-0.4847492773901495,1.8166887470909214,-0.003949111608143783,0.7014188628726565,-1.1697286737454546,0.14201320871921433,-0.5262283087160697,1.6427764783935768
160,-1.2564864179748334,-0.7286947828855532,-0.7286942153983006,-0.2264922410136971,-0.22649224101906765,-0.21735551665023226,1.1854000865879926,0.615125298933772,0.13174236240612142,0.23942316413135653,1.6566389632004266,-0.10402703238968701,0.9007840054556624,-0.484632910724006,0.06484167017573234,1.759582184113052,2.7952434402196475,-1.254768562240225,-0.2830331930499925,1.4503931989084724,0.10958040719248964
177,-1.2493830059638988,-0.7213059482777062,-0.721305382670387,1.5385288079026445,1.5385288078976764,-0.21735551665023226,0.7214244938922321,1.3205811009573287,-0.062411550048346226,0.41256688648770634,1.3422289835112358,0.19261381488616128,0.7154378179853552,-0.513828048152959,-0.6291840260189959,-0.23245032066875865,-0.9191107177799825,-0.9843044212266123,-0.6237216121243009,-0.014085245169564428,-0.1986320466973632
193,-1.2426974417183136,-0.7139171136698593,-0.7139165499424733,0.45889304045847357,0.45889304045325935,-0.21735551665023226,-0.41988633795153346,1.4892106320820158,-0.058606338445116646,0.24888988783709462,1.3189334254955416,-0.06572667262656917,-0.4954516276014143,0.31849205966334476,0.5215147907890941,-0.21999302163352602,-0.3909061076121211,-0.20186640783616985,-0.23534663206261006,0.26686217992485356,-0.09246997924641391
201,-1.239354659595521,-0.7104689908528641,-0.7104684280027803,-0.03775456445180441,-0.0377545644571319,-0.21735551665023226,0.6499308920709403,1.4670956059096294,-0.14332236519070155,0.22363546083809027,-1.1177302430238227,0.05968522320666493,1.6958134965295388,-0.12462102145526195,0.14232912697250205,-0.21755557579504065,-0.45190705678730775,-0.4761370680493742,-0.14935134961910165,0.5433045219768554,0.022030947373666388
213,-1.2343404864113319,-0.7050505121404429,-0.7050499506689769,0.940515153121588,0.9405151531164836,-0.21735551665023226,-0.14804855247362295,1.6783931722307532,-0.029758829006738288,0.08460340126357965,1.298476213230184,-0.13639060757136268,-1.2344976243284433,-0.4954979365519961,-0.45164934491728914,-0.21531506219997396,-0.2942096114715515,-0.64011931039571,-0.3245595930811772,0.43315850614272056,-0.0376766541104401
216,-1.2330869431152847,-1.2311355362191463,-1.2311348408964289,0.29546099235761525,0.2954609923523638,-0.21735551665023226,-0.7494347563602184,-1.3208882669138835,0.39946903983755844,-1.8476502624461466,1.117924917216042,-0.08576501553030827,-0.29548823291736054,-0.515749753401447,-0.6334729438110414,-0.21791097911606697,-0.34497527194535055,-1.0079249680483406,-0.6878474999368295,-0.2569679831084987,-0.23630245772834524
217,-1.2326690953499357,-1.2311306103294077,-1.2311348408964289,0.29546099235761525,0.29546099242093293,2.5848105685096,-0.7494347563602184,-1.3208882669138835,0.39946903983755844,-1.8476502624461466,0.8924132051234481,0.0027183609478469597,0.017320001456816874,-0.5229931039534405,-0.6519521423523529,-0.23156662694370658,-0.8369186960604984,-1.0079249680483406,-0.6878474999368295,-0.2569679831084987,-0.23630245772834524
224,-1.2297441609924922,-0.7006172113757347,-0.7006166510322288,-1.1418556783914666,-1.1418556783970457,-0.21735551665023226,1.0689425958563847,0.31125550213612335,-0.011982482590808939,0.16625512203186682,0.5135015148874071,-0.08582427856591304,-0.2662538184898674,-0.16415160466846093,0.3860161480051265,-0.21204171380671247,-0.23740041998896685,-0.3254154835678671,0.1537901945564356,0.6290316818999256,0.188345812075452
225,-1.229326313227143,-0.7001246224018783,-0.7001240621837012,-0.9799734806461983,-0.9799734806517404,-0.21735551665023226,1.0836868132712965,0.2666424308827906,0.055630119369733506,0.16856527786867725,0.5159466318415421,-0.1020006117654112,1.035847000110681,-0.19297718339578163,0.4280289665443899,-0.08668719300394866,0.6461638134954879,-0.3296186385160952,0.10955181835782216,1.255825844322982,0.2088933090014422
233,-1.2259835311043503,-0.6966764995848831,-0.6966759402440081,1.5912994890221963,1.5912994890172403,-0.21735551665023226,-0.08922827718511887,-1.3758102165377597,0.38751666991751943,0.6020586478083785,-1.3054043101355293,-0.15722870683273793,-0.1374942898048759,-0.553832385258966,-0.6188357871896283,0.12941290371400424,0.9913878938099694,-1.7626576783997636,-0.5940307653254536,0.6433957147887873,0.09097803906299831
234,-1.2255656833390012,-0.6961839106110266,-0.6961833513954806,0.3578079531201373,0.3578079531149,-0.21735551665023226,-0.4859443342170372,-1.6854940053124747,-0.16246057681199724,0.3664325829040835,-1.5847735744635214,-0.13985954033625447,3.5274040533604825,-0.557836935715288,-0.5176907167778452,0.9016839577694544,1.8764123277868743,-1.5340297289623803,-0.11554925985143491,0.23793824097137278,0.9196997193278627
236,-1.2247299878083031,-0.6951987326633137,-0.6951981736984254,0.8831652524226428,0.8831652524175253,-0.21735551665023226,-0.5854626598982182,-1.4508972054875924,-1.5725598433637322,1.8568959765623299,-1.6711156281811965,-0.13580551028807858,-0.5141267469441836,-0.5569713804986636,-0.7131029719605512,-0.1739665214776932,0.01898361622037676,-1.0311311193117938,-0.5769709534066668,0.36329707345598405,-0.13786967370438927
237,-1.224312140042954,-0.6947061436894572,-0.6947055848498979,0.2632472991983725,0.2632472991931136,-0.21735551665023226,-1.398766935050628,-1.8635767892251907,0.06073310840395928,0.5704832412218461,-1.6682171289328631,-0.1221362335239538,-0.5918653816002233,-0.5297457442541951,-0.6549454339566947,-0.21567484992259023,-0.4182469759005085,-0.23034130262627361,-0.5275791168586721,-0.06501227086643775,-0.23526857617468583
238,-1.2238942922776048,-0.6947012177997186,-0.6947055848498979,0.2632472991983725,0.26324729926168283,2.5848105685096,-1.398766935050628,-1.8635767892251907,0.06073310840395928,0.5704832412218461,-1.6627649955221813,0.007722918755717657,0.45343823579138587,-0.5089371267165844,-0.5988539394098721,-0.23030897534959643,-0.8293173452159367,-0.23034130262627361,-0.5275791168586721,-0.06501227086643775,-0.23526857617468583
