,rowid,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_tranmid,ttv_flag,st_rad,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,pl_nnotes,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
1398,-1.3109210330965457,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.046443132660937234,-0.1217926265611398,-0.23125529383306978,-0.3115903555676846,1.2644042528126302,-1.7300211407091954,-0.731980520821464,-1.8721660023790523,-0.08104984694355102,1.2539578770695168,-0.20437768244632956,0.2560388673924961,-0.3877791734642709,-0.25986729886156107,0.04153385886061239,0.05294002992537851,0.1867801803894913,0.1793279865751034,0.21874622004425034,0.08758696936432211,0.09256241645334674,0.14685555208464446,0.8452641326557938,0.13260157134788433,0.16201409854301527,0.08250003840057504,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1400,-1.3086976077370822,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.14660019580013597,-0.11937659539847549,-0.23125529383306978,1.4476995620399968,1.2449068299847885,-1.719589555619784,-0.694118403780511,-1.8775151151397567,0.024545291659377085,1.236399415704507,-0.627417553156084,0.25925669842240306,0.20229807747114173,0.8561858847131291,-0.4581488105028747,-0.3414911230266972,0.04159562318946995,0.15559886804520243,0.18972700839848142,0.18459525377375932,0.18384112165062955,0.2727067315264587,0.7730315682967966,-0.2442913612028119,-0.13503982259809477,-0.26709409075152096,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1401,-1.3075858950573505,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.14659988444811753,-0.1193769204395078,-0.23125529383306978,1.0116188970110607,1.2449068299847885,-1.719589555619784,-0.694118403780511,-1.8775151151397567,0.024545291659377085,1.236399415704507,-0.627417553156084,0.25925669842240306,0.20229807747114173,0.8561858847131291,-0.4581488105028747,-0.3414911230266972,0.04159562318946995,0.15559886804520243,0.18972700839848142,0.18459525377375932,0.18384112165062955,0.2727067315264587,0.7730315682967966,-0.2442913612028119,-0.13503982259809477,-0.26709409075152096,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1402,-1.3064741823776187,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.008023940736823292,-0.12439403012740169,-0.23125529383306978,1.092374575720123,1.2688927816787978,-1.7055279698840144,-0.737151506055317,-1.8668643573612256,-0.002922471735046882,1.258681579361645,-1.029164542059838,-0.052150114370670304,0.5574997910708118,0.5378090678529548,-0.3748683656089608,-0.1755087826441496,0.1800448143338199,0.327826341246103,0.3302410858411571,0.3602795483735269,0.35872805261685226,0.5120707394844186,0.7567209892479919,-0.10508751711702122,0.019999635536374617,-0.10984422184719962,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1403,-1.305362469697887,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.008023177422197414,-0.12439367682170288,-0.23125529383306978,0.8249812177193988,1.2688927816787978,-1.7055279698840144,-0.737151506055317,-1.8668643573612256,-0.002922471735046882,1.258681579361645,-1.029164542059838,-0.052150114370670304,0.5574997910708118,0.5378090678529548,-0.3748683656089608,-0.1755087826441496,0.1800448143338199,0.327826341246103,0.3302410858411571,0.3602795483735269,0.35872805261685226,0.5120707394844186,0.7567209892479919,-0.10508751711702122,0.019999635536374617,-0.10984422184719962,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1404,-1.3042507570181552,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.1278300882775414,-0.12971677745876367,-0.23125529383306978,0.4059513066930941,1.1359588707456634,-1.6979065623791127,-0.48965099724793637,-1.9150517488604468,0.38031297408702175,1.1366038478404141,-0.15731033181796453,-0.31549482821291175,-0.43832490289302023,0.3195132649538433,0.3751894874420007,0.48723074132057503,0.3783639259730257,0.3905936870348749,0.41195307652793023,0.3900694939795742,0.39554635387289916,0.7242903754059079,0.2650735350625683,0.4759885386004933,0.47328347135589377,0.4604396374839207,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1405,-1.3031390443384234,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.02636980602524602,-0.13149545937707813,-0.23125529383306978,-0.015593336168210535,1.2855181563499727,-1.6976289602119756,-0.7673861932670569,-1.8597989824874477,-0.03361818322774465,1.2740854918823825,-0.4520680646788294,-0.06465042658691549,-0.15382657919712237,0.0033208903818218133,-0.2392707181534839,-0.13505430541829594,0.16956757824722088,0.28113355962274766,0.2271465181522372,0.061616247553922567,0.06264754668280885,0.21759543072514137,-0.9395792318277796,-0.010143020538488074,0.08533469174209196,0.07710090127081234,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1406,-1.3020273316586917,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.02633993631870182,-0.13149927507809886,-0.23125529383306978,-0.05964878913115233,1.2855181563499727,-1.6976289602119756,-0.7673861932670569,-1.8597989824874477,-0.03361818322774465,1.2740854918823825,-0.4520680646788294,-0.06465042658691549,-0.15382657919712237,0.0033208903818218133,-0.2392707181534839,-0.13505430541829594,0.16956757824722088,0.28113355962274766,0.2271465181522372,0.061616247553922567,0.06264754668280885,0.21759543072514137,-0.9395792318277796,-0.010143020538488074,0.08533469174209196,0.07710090127081234,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1407,-1.30091561897896,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.03950103223165179,-0.1312867264043076,-0.23125529383306978,0.10554018189538272,1.2505432108168593,-1.691174067416271,-0.7008083867987156,-1.8712379766394456,0.11524826938581029,1.2422349428024029,-0.8043751822578883,0.20650159468914872,0.4665806356995598,-0.14851559522174165,-0.44800567939400043,-0.4021728388654782,-0.169445846554892,-0.07786504007157537,-0.07908253105707336,-0.19274405723617538,-0.18587598679550774,-0.0957986827868266,0.8126429745581802,-0.3251384359827371,-0.2648696127432187,-0.4081465482665554,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1408,-1.2998039062992282,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.03948758383317748,-0.13128836574246056,-0.23125529383306978,-0.018552224236110665,1.2505432108168593,-1.691174067416271,-0.7008083867987156,-1.8712379766394456,0.11524826938581029,1.2422349428024029,-0.8043751822578883,0.20650159468914872,0.4665806356995598,-0.14851559522174165,-0.44800567939400043,-0.4021728388654782,-0.169445846554892,-0.07786504007157537,-0.07908253105707336,-0.19274405723617538,-0.18587598679550774,-0.0957986827868266,0.8126429745581802,-0.3251384359827371,-0.2648696127432187,-0.4081465482665554,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1409,-1.2986921936194964,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.12416798592375972,-0.133660657666719,-0.23125529383306978,-0.7843873974784829,1.1441169140837648,-1.6855353731388707,-0.5026879483952286,-1.9101232588521577,0.41347757997546997,1.144304768679191,-0.27352832470810284,-0.21468227374173798,-0.33544538219034403,-0.5330129310905274,0.7707716006880945,0.6198976298700659,0.2765850611317737,0.09972062118446542,0.03393966166855729,0.05015857616698079,0.07185212199682092,0.03745550721038872,0.7240998311503825,0.5502131036052587,0.44800377651102374,0.7756142674337833,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1410,-1.2975804809397646,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.11892204032112924,4.818063648051602,-0.23125529383306978,0.2529515978109048,1.2855844535486485,-1.6831306575523526,-0.765616971130352,-1.8575513744067444,0.02163252156907145,1.274541404357878,-0.7812489842287388,0.029547298344906547,0.24566348947451538,2.215383305545964,1.1348566225961056,1.2588404025254643,1.8676281982825302,2.003408291631756,2.0103007074383723,2.043793397494774,2.033960759766988,1.6159418689675167,-0.6110375681304115,1.5431305840532736,1.7009943024369711,1.5402670634363402,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1411,-1.2964687682600329,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.11894269556508916,-0.1324736637715049,-0.23125529383306978,0.43340823745417545,1.2855844535486485,-1.6831306575523526,-0.765616971130352,-1.8575513744067444,0.02163252156907145,1.274541404357878,-0.7812489842287388,0.029547298344906547,0.24566348947451538,2.215383305545964,1.1348566225961056,1.2588404025254643,1.8676281982825302,2.003408291631756,2.0103007074383723,2.043793397494774,2.033960759766988,1.6159418689675167,-0.6110375681304115,1.5431305840532736,1.7009943024369711,1.5402670634363402,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1412,-1.2953570555803011,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.12383458317641256,-0.11234606752440725,-0.23125529383306978,0.8501075395929365,1.208890711345531,-1.670464433172478,-0.6201371528660449,-1.8833718399966517,0.3216819851547472,1.204379820425748,-0.7092598821071134,0.20685443630569136,0.27188652520080936,1.5975636560898425,0.126415850771717,0.2409343652690519,0.5242968571792336,0.6470212582451057,0.6181422119057715,0.6291529035870826,0.6540415106080617,0.14932322226977815,-2.5473363094957513,0.32537561826838696,0.4150211275582978,0.2748442986483497,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1413,-1.2942453429005694,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.03900878968775056,-0.11748448823693484,-0.23125529383306978,-0.2675510537404847,1.1986112540545224,-1.667607048613186,-0.6006103504752137,-1.8867835578773526,0.3603963504668346,1.194949636537435,-0.7391988082894643,-0.009316494329785112,0.1892286646749926,-0.29686407179503455,0.036195368803310285,0.005941446089459634,0.0962269256410236,0.13263520495174813,0.13856155628620245,0.1311261206346995,0.13781824508057053,0.18387060486164847,-1.9694757946237844,0.06375369744770465,0.08372407406499498,0.13716630183941592,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1414,-1.2931336302208376,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.07085668634659419,-0.1333751867088013,-0.23125529383306978,0.10554018189538272,1.1391805408976279,-1.6669366230150067,-0.4908031265347484,-1.909423371030963,0.49451509879088,1.1399804121461392,-0.8130775917491332,0.21558885093316035,0.5483657985367334,-0.28519327747265766,-0.5900095149182393,-0.30817567119364153,-0.329597883878628,-0.28224164160331056,-0.27076206061202934,-0.28058620453605915,-0.2756205961071228,-0.1451520864894991,0.9477877723911438,-0.37569244624658293,-0.34876178566331495,-0.4175950382436398,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1415,-1.2920219175411058,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.06012052552303996,-0.1317828664501727,-0.23125529383306978,1.223082487051463,1.1648735579892142,-1.6640565782963537,-0.537621557930138,-1.8990510418852138,0.45481580220389217,1.1638197408851332,-0.6133270706422456,-0.392004412753286,0.3392153343349229,2.6557307323536556,0.07356479920442593,0.20702399465326343,0.2533854669400172,0.2849608368049892,0.2867122683725017,0.3129211733075018,0.3272790869606452,0.49479704818848275,-0.7881238549460153,0.22367747310726424,0.25465962840385564,0.2755191907895696,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1416,-1.290910204861374,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.16644879158653259,-0.12528632472150344,-0.23125529383306978,-1.2414645389717751,1.1373538697426697,-1.6051037629922682,-0.47795032524447867,-1.901435093588065,0.737183779542555,1.1390761076256544,1.488351251497946,-0.7386343265855463,-2.337283073529714,-0.6173995177405476,3.00226044464042,2.9317520195710705,2.0973790181815346,2.1021520429336054,1.9896817939005889,1.8597068105445833,1.7317438702902692,1.2819838372461032,0.27905403139011636,2.8218650952926074,2.5074935975294177,2.1307976870040695,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1417,-1.2897984921816423,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,-0.19892332373587052,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.13018322657130535,-0.11992310269636633,-0.23125529383306978,-0.9588196634900574,1.2478514091507413,-1.603227703311003,-0.6837167992917486,-1.859076510894311,0.46201761968596433,1.2418484580694107,4.86737279532243,1.4929769183720152,-6.262626189565556,-0.8537697252501724,0.6896265518171012,0.4330931320918582,-0.768145051503437,-0.9152732875461771,-1.0153339383653406,-1.0276263789646345,-1.1523563947667392,-1.2309269679482855,-0.7648230277334366,0.04965627564909672,-0.31661945897690097,0.00961168714878642,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1418,-1.2886867795019106,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,-0.19892332373587052,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.13018411040929323,-0.11992031864777557,-0.23125529383306978,-0.8767541276723341,1.2478514091507413,-1.603227703311003,-0.6837167992917486,-1.859076510894311,0.46201761968596433,1.2418484580694107,4.86737279532243,1.4929769183720152,-6.262626189565556,-0.8537697252501724,0.6896265518171012,0.4330931320918582,-0.768145051503437,-0.9152732875461771,-1.0153339383653406,-1.0276263789646345,-1.1523563947667392,-1.2309269679482855,-0.7648230277334366,0.04965627564909672,-0.31661945897690097,0.00961168714878642,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
1419,-1.2875750668221788,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.07177638003464143,-0.1266553134189927,-0.23125529383306978,0.0037880267219644157,1.1571003178687904,-1.580131733162322,-0.5106388331546522,-1.8901276289967281,0.7957753712238333,1.1578601811797509,-1.0112774744553532,-0.07750949632704654,0.5806536200433607,1.0707226399524206,1.027019123438601,1.2112468999068124,1.5009249352515466,1.538776841707547,1.5582119365358498,1.5595158202067196,1.6120843912081164,1.3181763332947283,-0.005216060603350642,1.3163260166049693,1.419416316367099,1.312828411845111,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
